airport,countryCode,lat,lng,month_of_purchase,year_of_purchase,months_in_advance,month_of_flight,year_of_flight,airline,dist,duration,price,sale
BVE,FR,45.166667,1.533333,3,2019,1,4,2019,RyanAir,413.8,56.0,35.64,False
KTT,FI,67.695949,24.859026999999998,12,2019,1,1,2020,EasyJet,1498.72,164.0,114.8,False
VNO,LT,54.643079,25.279605,2,2019,1,3,2019,EuroWings,1796.96,194.0,123.45,False
LAI,FR,48.754166999999995,-3.4819440000000004,12,2019,3,3,2020,EasyJet,1616.52,176.0,111.47,False
SOB,HU,46.713471999999996,17.240444,3,2019,1,4,2019,EasyJet,692.17,84.0,53.45,False
HAW,GB,51.8,-4.966667,7,2019,2,9,2019,RyanAir,406.02,55.0,33.33,False
QUG,GB,50.941666999999995,-0.842248,4,2019,4,8,2019,EuroWings,486.09,63.0,44.67,False
AOK,GR,35.420683000000004,27.146728000000003,11,2019,1,12,2019,RyanAir,1349.49,149.0,161.19,False
LDY,GB,55.040986,-7.156924000000001,11,2019,3,2,2020,EasyJet,1565.83,171.0,108.3,False
VNO,LT,54.643079,25.279605,12,2019,6,6,2020,EuroWings,1796.96,194.0,134.51,False
LPY,FR,45.083333,3.766667,5,2019,3,8,2019,EasyJet,700.75,85.0,63.62,False
QFQ,NO,61.95,5.1,6,2019,4,10,2019,EuroWings,1374.02,152.0,99.49,False
DSA,GB,53.481004000000006,-1.01155,4,2019,7,11,2019,RyanAir,1164.08,131.0,101.23,False
HEM,FI,60.25,25.05,6,2019,2,8,2019,EasyJet,1731.41,188.0,148.12,False
GMZ,ES,28.016666999999998,-17.2,12,2019,5,5,2020,RyanAir,928.88,107.0,60.63,False
JKH,GR,38.345795,26.142335,8,2019,2,10,2019,EuroWings,383.59,53.0,24.09,True
DTM,DE,51.514826,7.613139,9,2019,7,4,2020,EasyJet,364.51,51.0,25.5,False
QYW,FR,43.538889000000005,7.044444,6,2019,2,8,2019,EasyJet,915.48,106.0,83.52,False
SCP,FR,45.416667,0.616667,1,2019,5,6,2019,EasyJet,337.17,48.0,32.15,False
LKL,NO,70.067778,24.973611,5,2019,1,6,2019,EasyJet,149.03,29.0,28.79,False
BJF,NO,70.6,29.666666999999997,7,2019,4,11,2019,EuroWings,440.64,59.0,65.65,False
TRE,GB,56.500556,-6.871389,11,2019,3,2,2020,RyanAir,755.13,90.0,57.0,False
ILH,DE,49.4739,10.3881,11,2019,2,1,2020,EuroWings,1690.04,184.0,122.67,False
RHO,GR,36.401866,28.090677000000003,12,2019,4,4,2020,RyanAir,1736.42,188.0,112.8,False
JSS,GR,37.25,23.166667,12,2019,1,1,2020,RyanAir,1465.24,161.0,112.7,False
GRO,ES,41.898041,2.7663830000000003,9,2019,2,11,2019,EuroWings,1295.48,144.0,148.36,False
MOL,NO,62.745714,7.261039,7,2019,1,8,2019,EasyJet,754.74,90.0,89.35,False
OZU,ES,37.6,-4.633333,9,2019,2,11,2019,EasyJet,992.09,114.0,117.45,False
LRT,FR,47.753739,-3.4363940000000004,11,2019,1,12,2019,RyanAir,1028.1,117.0,126.57,False
BIO,ES,43.305535,-2.9058080000000004,1,2019,2,3,2019,EuroWings,1848.29,199.0,120.61,False
EUM,DE,54.066667,9.966667,9,2019,5,2,2020,RyanAir,1019.19,116.0,65.73,False
XEX,FR,48.833333,2.65,5,2019,3,8,2019,EasyJet,1647.17,179.0,133.98,False
LDV,FR,48.5,-4.1,6,2019,5,11,2019,EuroWings,1527.03,167.0,146.25,False
ACH,CH,47.483333,9.566667,1,2019,3,4,2019,RyanAir,814.91,96.0,66.33,False
PFJ,IS,65.033333,-19.008333,1,2019,1,2,2019,EasyJet,800.16,95.0,60.45,False
SKL,GB,57.333332999999996,-6.25,8,2019,2,10,2019,EasyJet,118.5,26.0,15.76,False
OSI,HR,45.465883000000005,18.807212,4,2019,1,5,2019,EasyJet,363.16,51.0,32.45,False
DEB,HU,47.55,21.7,3,2019,4,7,2019,EasyJet,903.9,105.0,74.45,False
MVV,FR,45.816666999999995,6.65,6,2019,1,7,2019,RyanAir,583.15,73.0,60.39,False
SEJ,ES,40.97167,-5.648333,12,2019,2,2,2020,EuroWings,1458.49,160.0,106.67,False
BYU,DE,49.985556,11.64,6,2019,3,9,2019,EuroWings,991.27,114.0,65.64,False
OFJ,IS,65.583333,-19.833333,4,2019,1,5,2019,RyanAir,932.81,108.0,68.73,False
DBV,HR,42.560718,18.260617,8,2019,7,3,2020,EuroWings,1516.08,166.0,83.0,False
ESH,GB,50.833333,-0.3,12,2019,3,3,2020,EuroWings,330.11,48.0,30.4,False
JAM,BG,42.516667,26.483333000000002,10,2019,3,1,2020,EasyJet,1552.4,170.0,107.67,False
FDH,DE,47.672775,9.523482000000001,7,2019,3,10,2019,EuroWings,937.02,108.0,62.18,False
INQ,IE,53.033333,-9.433333,2,2019,2,4,2019,RyanAir,365.84,51.0,30.91,False
BDS,IT,40.657995,17.939053,6,2019,2,8,2019,RyanAir,1067.18,121.0,95.33,False
OSY,NO,64.47273,11.570002,1,2019,1,2,2019,EuroWings,433.12,58.0,44.29,False
GRO,ES,41.898041,2.7663830000000003,1,2019,5,6,2019,RyanAir,1295.48,144.0,96.44,False
SMI,GR,37.691448,26.914417999999998,1,2019,3,4,2019,EuroWings,996.46,114.0,65.64,False
AMS,NL,52.309069,4.7633849999999995,3,2019,2,5,2019,RyanAir,453.99,60.0,36.36,False
PRJ,IT,40.55,14.233332999999998,1,2019,1,2,2019,EuroWings,905.67,105.0,66.82,False
LUY,ES,43.015,-7.551944000000001,7,2019,3,10,2019,RyanAir,1434.59,158.0,90.97,False
FWM,GB,56.816667,-5.116667,12,2019,1,1,2020,EuroWings,623.14,77.0,53.9,False
RJK,HR,45.215833,14.568332999999999,11,2019,6,5,2020,RyanAir,498.32,64.0,34.13,False
GMY,DE,51.166667,6.366667,2,2019,1,3,2019,EuroWings,58.98,20.0,12.73,False
SKP,MK,41.960559,21.625757,10,2019,4,2,2020,EuroWings,1331.02,148.0,88.8,False
KSU,NO,63.113445999999996,7.826021000000001,4,2019,3,7,2019,EuroWings,758.78,90.0,80.84,False
PIS,FR,46.586110999999995,0.30638899999999997,9,2019,1,10,2019,EuroWings,1073.59,122.0,77.64,False
RVN,FI,66.55904699999999,25.829609,9,2019,2,11,2019,RyanAir,1702.31,185.0,190.61,False
BIQ,FR,43.466478,-1.521784,12,2019,2,2,2020,EasyJet,1325.43,147.0,98.0,False
CDT,ES,40.213889,0.07333300000000001,12,2019,1,1,2020,EuroWings,1013.85,116.0,81.2,False
PFJ,IS,65.033333,-19.008333,8,2019,9,5,2020,EuroWings,800.16,95.0,41.17,False
RVN,FI,66.55904699999999,25.829609,10,2019,1,11,2019,EasyJet,1702.31,185.0,200.14,False
AAL,DK,57.086551,9.872241,5,2019,6,11,2019,EasyJet,1066.71,121.0,99.73,False
PRG,CZ,50.106188,14.266638,7,2019,3,10,2019,EasyJet,1041.88,119.0,68.52,False
FAG,IS,63.88333299999999,-16.65,11,2019,1,12,2019,EuroWings,612.3,76.0,82.22,False
GRS,IT,42.761944,11.070556,2,2019,5,7,2019,EasyJet,1569.03,171.0,114.52,False
NIC,CY,35.151111,33.272222,11,2019,1,12,2019,EuroWings,1274.88,142.0,153.62,False
WBG,DE,54.45,9.516667,9,2019,6,3,2020,EasyJet,1250.89,140.0,74.67,False
KLV,CZ,50.2,12.916667,9,2019,5,2,2020,EasyJet,629.34,77.0,43.63,False
SNN,IE,52.69248,-8.92039,2,2019,6,8,2019,RyanAir,174.78,32.0,20.17,False
CHV,PT,41.733333,-7.466667,3,2019,1,4,2019,EasyJet,1474.78,162.0,103.09,False
HTF,GB,51.765,-0.248333,12,2019,4,4,2020,EuroWings,376.61,52.0,23.4,True
OSL,NO,60.194192,11.100411,11,2019,1,12,2019,EasyJet,1205.49,135.0,175.25,False
TTB,IT,39.916667,9.683333,2,2019,1,3,2019,RyanAir,11.12,16.0,10.18,False
ATH,GR,37.93635,23.946486,8,2019,3,11,2019,RyanAir,822.34,97.0,94.94,False
BOO,NO,67.27261999999999,14.367839000000002,11,2019,3,2,2020,EuroWings,1555.73,170.0,129.2,False
ANG,FR,45.727359,0.218923,5,2019,8,1,2020,EuroWings,527.4,67.0,31.27,False
BQT,BY,52.110065000000006,23.898222,3,2019,5,8,2019,RyanAir,463.11,61.0,40.85,False
SEJ,ES,40.97167,-5.648333,6,2019,7,1,2020,EasyJet,1458.49,160.0,80.0,False
KOK,FI,63.718838,23.133069,12,2019,1,1,2020,EuroWings,752.65,90.0,63.0,False
AMR,ES,36.834446,-2.456111,10,2019,8,6,2020,RyanAir,1817.86,196.0,118.91,False
MZM,FR,49.0725,6.134444,4,2019,5,9,2019,EuroWings,1356.42,150.0,77.27,False
BGC,PT,41.856158,-6.706141000000001,4,2019,4,8,2019,EasyJet,1759.73,190.0,134.73,False
PUY,HR,44.891667,13.923611,7,2019,5,12,2019,EasyJet,423.13,57.0,49.92,False
HOY,GB,58.833332999999996,-3.3,12,2019,5,5,2020,EuroWings,161.03,31.0,17.57,False
CCF,FR,43.215476,2.308594,9,2019,2,11,2019,EasyJet,1553.73,170.0,175.15,False
LTN,GB,51.879768,-0.376232,9,2019,3,12,2019,EasyJet,439.36,58.0,56.77,False
MAD,ES,40.49027,-3.564479,9,2019,1,10,2019,EasyJet,483.6,63.0,40.09,False
NAP,IT,40.886111,14.291667000000002,9,2019,9,6,2020,RyanAir,1053.73,120.0,67.6,False
OHD,MK,41.180231,20.743216,7,2019,2,9,2019,EuroWings,1137.1,128.0,77.58,False
SOU,GB,50.950725,-1.361318,6,2019,1,7,2019,EuroWings,673.15,82.0,67.84,False
GRQ,NL,53.120278000000006,6.575556,7,2019,4,11,2019,EasyJet,1233.69,138.0,127.96,False
OLA,NO,63.698789,9.604094,10,2019,1,11,2019,EasyJet,864.46,101.0,131.12,False
SZD,GB,53.399443999999995,-1.389722,6,2019,3,9,2019,EuroWings,977.18,112.0,64.48,False
TMP,FI,61.420449,23.617564,2,2019,2,4,2019,RyanAir,1592.38,174.0,105.45,False
PEG,IT,43.133333,12.366667,9,2019,1,10,2019,EasyJet,1149.28,129.0,82.09,False
HAJ,DE,52.459254,9.694766,2,2019,2,4,2019,RyanAir,24.24,17.0,10.3,False
INQ,IE,53.033333,-9.433333,7,2019,1,8,2019,EasyJet,365.84,51.0,42.19,False
HAJ,DE,52.459254,9.694766,11,2019,2,1,2020,EasyJet,24.24,17.0,11.33,False
LBC,DE,53.805273,10.701162,10,2019,1,11,2019,EuroWings,1017.5,116.0,125.49,False
ALF,NO,69.97716700000001,23.355809,9,2019,1,10,2019,RyanAir,714.11,86.0,65.67,False
KLU,AT,46.650121999999996,14.324192000000002,12,2019,3,3,2020,EasyJet,781.15,93.0,58.9,False
PIX,PT,38.466667,-28.3,3,2019,2,5,2019,EuroWings,918.86,106.0,64.24,False
VBS,IT,45.425447,10.326545,7,2019,1,8,2019,RyanAir,482.39,63.0,52.12,False
NIC,CY,35.151111,33.272222,11,2019,2,1,2020,EuroWings,1274.88,142.0,94.67,False
TZL,BA,44.409721999999995,18.709167,8,2019,1,9,2019,EuroWings,360.07,51.0,32.45,False
JUI,DE,53.683333,7.066667,1,2019,5,6,2019,RyanAir,1508.09,165.0,110.5,False
RRS,NO,62.579167000000005,11.345556,4,2019,3,7,2019,RyanAir,1083.29,123.0,110.48,False
SIJ,IS,66.166667,-18.933332999999998,6,2019,2,8,2019,RyanAir,1512.54,166.0,130.79,False
JPU,FR,48.866667,2.333333,12,2019,3,3,2020,EuroWings,1630.14,178.0,112.73,False
HHN,DE,49.948333,7.264167,2,2019,1,3,2019,RyanAir,888.37,103.0,65.55,False
MHP,BY,53.864473,27.539686,8,2019,1,9,2019,EuroWings,1026.7,117.0,74.45,False
GPA,GR,38.25,21.733333,4,2019,4,8,2019,RyanAir,1027.25,117.0,82.96,False
CBP,PT,40.2,-8.416667,5,2019,3,8,2019,EasyJet,385.53,53.0,39.67,False
LBA,GB,53.869339000000004,-1.6599849999999998,4,2019,1,5,2019,RyanAir,1117.54,126.0,80.18,False
ORK,IE,51.849107000000004,-8.489847,9,2019,1,10,2019,EuroWings,410.18,56.0,35.64,False
QPK,DE,52.582638,13.915935000000001,4,2019,4,8,2019,RyanAir,737.11,88.0,62.4,False
FWM,GB,56.816667,-5.116667,1,2019,1,2,2019,EasyJet,623.14,77.0,49.0,False
FWM,GB,56.816667,-5.116667,12,2019,4,4,2020,EasyJet,623.14,77.0,46.2,False
EBU,FR,45.541389,4.296944,8,2019,2,10,2019,EasyJet,420.92,57.0,34.55,False
ZXQ,NO,60.183333,5.516667,7,2019,2,9,2019,EuroWings,1464.97,161.0,117.09,False
KDL,EE,58.994917,22.824970999999998,6,2019,1,7,2019,RyanAir,296.77,44.0,36.4,False
MVQ,BY,53.957457,30.096425,9,2019,6,3,2020,EuroWings,1280.59,143.0,76.27,False
JMK,GR,37.436111,25.344444,1,2019,1,2,2019,EasyJet,752.02,90.0,57.27,False
PRM,PT,37.147727,-8.581365,10,2019,4,2,2020,RyanAir,1636.11,178.0,106.8,False
PVN,BG,43.416667,24.616667,6,2019,4,10,2019,EuroWings,1032.14,118.0,64.36,False
HVK,IS,65.7,-22.466667,1,2019,1,2,2019,EasyJet,542.1,69.0,43.91,False
RVN,FI,66.55904699999999,25.829609,8,2019,1,9,2019,RyanAir,1702.31,185.0,117.73,False
CSO,DE,51.857760999999996,11.426725999999999,3,2019,4,7,2019,EuroWings,419.27,56.0,39.71,False
OSR,CZ,49.695516999999995,18.121285,10,2019,1,11,2019,RyanAir,1086.98,123.0,133.06,False
OSY,NO,64.47273,11.570002,11,2019,1,12,2019,EuroWings,433.12,58.0,75.29,False
PRV,CZ,49.590278000000005,17.208333,2,2019,9,11,2019,RyanAir,1441.23,159.0,106.48,False
CER,FR,49.650812,-1.475198,2,2019,1,3,2019,EuroWings,1353.18,150.0,95.45,False
BZZ,GB,51.75,-1.587093,7,2019,2,9,2019,EuroWings,432.7,58.0,35.15,False
MQN,NO,66.364646,14.302748000000001,10,2019,6,4,2020,EasyJet,1221.79,137.0,87.68,False
VIC,IT,45.55,11.55,6,2019,3,9,2019,RyanAir,415.76,56.0,32.24,False
BLK,GB,53.778387,-3.041985,12,2019,5,5,2020,RyanAir,824.22,97.0,54.97,False
VHY,FR,46.165556,3.409722,11,2019,5,4,2020,EasyJet,29.51,17.0,9.63,False
CSF,FR,49.25,2.483333,6,2019,1,7,2019,RyanAir,1681.29,183.0,151.39,False
CCF,FR,43.215476,2.308594,6,2019,7,1,2020,RyanAir,1553.73,170.0,85.0,False
SXD,FR,43.616667,7.05,10,2019,6,4,2020,EuroWings,869.43,101.0,53.87,False
JCU,ES,35.892569,-5.30621,10,2019,5,3,2020,EuroWings,1681.34,183.0,103.7,False
KOQ,DE,51.716667,11.95,11,2019,5,4,2020,RyanAir,369.79,51.0,28.9,False
PXS,ES,36.6,-6.216667,3,2019,2,5,2019,EasyJet,1287.29,143.0,86.67,False
SXF,DE,52.370278000000006,13.521388,7,2019,3,10,2019,EasyJet,702.41,85.0,48.94,False
GNE,BE,51.05,3.7166669999999997,1,2019,1,2,2019,EuroWings,901.18,105.0,66.82,False
QLR,PT,39.828333,-8.8875,12,2019,4,4,2020,EuroWings,125.76,27.0,16.2,False
TEY,IS,65.883333,-23.45,3,2019,1,4,2019,EasyJet,1001.44,115.0,73.18,False
GEN,ES,37.383333,-4.766667,6,2019,2,8,2019,RyanAir,1053.93,120.0,94.55,False
NNR,IE,53.216667,-9.466667,2,2019,3,5,2019,RyanAir,484.01,63.0,36.27,False
RDZ,FR,44.410594,2.483866,10,2019,1,11,2019,RyanAir,1012.55,116.0,125.49,False
PPW,GB,59.35145,-2.899779,2,2019,2,4,2019,EasyJet,368.55,51.0,30.91,False
WID,DE,49.5,9.5,8,2019,1,9,2019,EasyJet,1884.33,203.0,129.18,False
MKA,CZ,49.983333,12.716667,12,2019,3,3,2020,EasyJet,765.46,91.0,57.63,False
HER,GR,35.33663,25.174193,1,2019,1,2,2019,EasyJet,1882.65,203.0,129.18,False
BRU,BE,50.89717,4.483601999999999,3,2019,3,6,2019,EasyJet,839.35,98.0,73.35,False
INV,GB,57.539345999999995,-4.063738,8,2019,4,12,2019,RyanAir,645.5,79.0,73.25,False
KLJ,LT,55.7,21.216667,5,2019,9,2,2020,EasyJet,1603.05,175.0,75.83,False
NRL,GB,59.367491,-2.434444,4,2019,2,6,2019,EasyJet,446.24,59.0,46.48,False
NVK,NO,68.436355,17.386178,1,2019,9,10,2019,EasyJet,1377.29,152.0,71.85,False
UER,ES,38.7,-4.116667,4,2019,6,10,2019,EasyJet,628.41,77.0,37.33,False
QLR,PT,39.828333,-8.8875,12,2019,6,6,2020,RyanAir,125.76,27.0,18.72,False
SIJ,IS,66.166667,-18.933332999999998,8,2019,6,2,2020,RyanAir,1512.54,166.0,88.53,False
TEY,IS,65.883333,-23.45,11,2019,1,12,2019,EuroWings,1001.44,115.0,124.41,False
FRZ,DE,51.114276000000004,9.286667,8,2019,3,11,2019,RyanAir,858.65,100.0,97.88,False
RJL,ES,42.456944,-2.323611,9,2019,1,10,2019,EasyJet,1608.97,175.0,111.36,False
KLT,DE,49.433333000000005,7.75,11,2019,2,1,2020,EuroWings,1299.6,144.0,96.0,False
HKV,BG,41.933333000000005,25.55,9,2019,3,12,2019,EasyJet,1873.46,202.0,197.72,False
MST,NL,50.915619,5.768827,10,2019,4,2,2020,EasyJet,370.19,52.0,31.2,False
FDH,DE,47.672775,9.523482000000001,10,2019,4,2,2020,RyanAir,937.02,108.0,64.8,False
MME,GB,54.512226,-1.434013,5,2019,9,2,2020,RyanAir,1480.16,163.0,70.63,False
OLA,NO,63.698789,9.604094,11,2019,6,5,2020,RyanAir,864.46,101.0,64.64,False
